Code,Site,Reg,Lat,Lon,PopEstADPE,PopEstCHPE,PopEstGEPE,PopEstPygo,PopEstANSH,Comments
VALE,Cape Valentine,Elephant Island,-61.102,-54.651,0,460.527084,0,460.527084,0,
CVIK,Cape Vik,South Orkney Islands,-60.655,-45.663,0,8000,0,8000,0,
WALL,Cape Wallace,South Shetland Islands,-63.233,-62.209,0,150000,0,150000,0,
WABL,Cape Wallace Bluff (south),South Shetland Islands,-63.2816,-62.2664,0,50000,0,50000,0,
WHIT,Cape Whitson,South Orkney Islands,-60.748,-44.544,0,2666.666667,0,2666.666667,0,
CARL,Carlota Cove,South Shetland Islands,-62.373443,-59.709059,0,1,0,1,0,
CARO,Caroline Bluff,South Shetland Islands,-61.911,-57.659,0,5500,0,5500,0,
CAST,Castle Rock,South Shetland Islands,-62.7886,-61.5814,0,3333.333333,0,3333.333333,0,
CASY,Casy Island,Northwest Antarctic Peninsula,-63.2365,-57.5052,0,30,0,30,0,
CECI,Cecilia Island,South Shetland Islands,-62.4128,-59.7285,0,8.873711843,0,8.873711843,0,
CHAB,"Chabrier Rock, Vaureal Peak",South Shetland Islands,-62.1874,-58.2961,0,1724,0,1724,0,
CHPT,Charles Point,Central-west Antarctic Peninsula,-64.236,-61,0,10.2103985,1242.163113,1252.373511,0,
CHAT,Chatos Island,Southwest Antarctic Peninsula,-67.66,-69.152,143.0456836,0,0,143.0456836,0,
CHEA,Cheal Point,South Orkney Islands,-60.633,-45.994,0,22500,0,22500,0,
CCMP,Chinstrap Camp,Elephant Island,-61.156,-54.756,0,24480,0,24480,0,
CHIN,Chinstrap Cove,Elephant Island,-61.245,-54.197,0,20701,0,20701,0,
CHIS,Christine Island,Central-west Antarctic Peninsula,-64.7946,-64.0236,1151,0,0,1151,0,
CHRI,Christoffersen Island,South Orkney Islands,-60.728,-45.035,252,0,324,576,0,
CIER,Cierva Point,Central-west Antarctic Peninsula,-64.157,-60.96,0,0,3681.222407,3681.222407,0,
CIPT,Cieslak Point,South Shetland Islands,-62.009,-58.655,0,955,0,955,0,
CPTW,Cieslak Point (west),South Shetland Islands,-62.012,-58.689,0,280,0,280,0,
CLPT,Claude Point,Central-west Antarctic Peninsula,-64.116,-62.6177,0,190,0,190,0,
COBA,Cobalescou Island,Central-west Antarctic Peninsula,-64.1795,-61.6499,0,423.8056379,0,423.8056379,0,
COCK,Cockburn Island,Northeast Antarctic Peninsula,-64.2005,-56.8412,20405.70812,0,0,20405.70812,0,
COFF,Coffer Island,South Orkney Islands,-60.742,-45.138,0,2100,0,2100,0,
CONE,Cone Island,Southwest Antarctic Peninsula,-67.6749,-69.1531,3316.80476,2.193840704,0,3318.998601,0,
CONF,Confusion Island,South Orkney Islands,-60.738,-45.636,0,7736,0,7736,0,
CORM,Cormorant Island,Central-west Antarctic Peninsula,-64.7939,-63.9667,693,0,0,693,0,
CORP,Cormorant Point,South Orkney Islands,-60.756,-44.732,96,0,0,96,0,
CORI,Cornwall Island,South Shetland Islands,-62.3426,-59.709,0,110,0,110,0,
CRWL,Cornwallis Island,Elephant Island,-61.0724,-54.4641,0,2200,0,2200,0,
